,Name,Year,Location,Coordinates
66,"""#SpongeyLeaks""",2016,"Northridge, California, USA","(34.2345615, -118.5369316)"
67,"""#TanCosmo""",2014,"Buenos Aires, Federal District, Argentina","(54.5109944, 36.260701)"
68,"""#Troublemakers""",2013,"Wilmington, Delaware, USA","(39.7459468, -75.546589)"
69,"""#VanLifeAttila""",2016,Canada,"(61.0666922, -107.991707)"
70,"""#VanLifeAttila""",2016,"California, USA","(36.7014631, -118.755997)"
71,"""#VanLifeAttila""",2016,Europe,"(51.0, 10.0)"
72,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
73,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
74,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
75,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
76,"""#VanLifeAttila""",2016,"Burnaby, British Columbia, Canada","(49.2433804, -122.9725459)"
77,"""#VanLifeAttila""",2016,"Coquitlam, British Columbia, Canada","(49.2842958, -122.793281)"
78,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
79,"""#VanLifeAttila""",2016,"Quesnel, British Columbia, Canada","(52.9794279, -122.4936273)"
80,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
81,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
82,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
83,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
84,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
85,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
86,"""#VanLifeAttila""",2016,"North Vancouver, British Columbia, Canada","(49.3206294, -123.0737925)"
87,"""#VanLifeAttila""",2016,"North Vancouver, British Columbia, Canada","(49.3206294, -123.0737925)"
88,"""#VanLifeAttila""",2016,"North Vancouver, British Columbia, Canada","(49.3206294, -123.0737925)"
89,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
90,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
91,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
92,"""#VanLifeAttila""",2016,"Quesnel, British Columbia, Canada","(52.9794279, -122.4936273)"
93,"""#VanLifeAttila""",2016,"Kelowna, British Columbia, Canada","(49.8879177, -119.4959025)"
94,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
95,"""#VanLifeAttila""",2016,"Coquitlam, British Columbia, Canada","(49.2842958, -122.793281)"
96,"""#VanLifeAttila""",2016,"Coquitlam, British Columbia, Canada","(49.2842958, -122.793281)"
97,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
98,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
99,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
100,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
101,"""#VanLifeAttila""",2016,"Richmond, British Columbia, Canada","(49.163168, -123.137414)"
102,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
103,"""#VanLifeAttila""",2016,Barkerville Highway,"(53.0154665, -122.4950096)"
104,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
105,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
106,"""#VanLifeAttila""",2016,"Wells, British Columbia, Canada","(53.1044428, -121.5723679)"
107,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
108,"""#VanLifeAttila""",2016,"Sicamous, British Columbia, Canada","(50.8270107, -118.98552905060103)"
109,"""#VanLifeAttila""",2016,"Calgary, Alberta, Canada","(51.0460954, -114.065465)"
110,"""#VanLifeAttila""",2016,"Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
111,"""#VanLifeAttila""",2016,"Hope, British Columbia, Canada","(49.3799438, -121.441351)"
112,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
113,"""#VanLifeAttila""",2016,"Barkerville, British Columbia, Canada","(53.068471, -121.5153039254653)"
114,"""#VanLifeAttila""",2016,"Sicamous, British Columbia, Canada","(50.8270107, -118.98552905060103)"
